Metric_name_og,Metric,with_Asol,ASOL_only,no_Asol,raw_dif,perc_dif,with_rnd,without_rnd,raw_dif_rnd,ratio_rnd,As_x_rnd,raw_dif2,perc_dif2,raw_dif2_rnd,perc_dif2_rn
games,Games,60,15,45,,,,45,,,,,,,
Win_perc,Win rate,0.423181818,0.8,0.3855,0.037681818,1.097747907,0.4232,0.3855,0.0377,1.0977,0.8,0.4145,2.075226978,0.4145,2.0752
KDA,KDA,5.233636364,5.77,5.18,0.053636364,1.01035451,5.2336,5.18,0.0536,1.0104,5.77,0.59,1.113899614,0.59,1.1139
KPAR,KPAR,0.708290909,0.6285,0.71627,-0.007979091,0.988860219,0.7083,0.7163,-0.008,0.9889,0.6285,-0.08777,0.877462409,-0.0878,0.8775
DPM,DPM,609.0045455,656.15,604.29,4.7145455,1.007801793,609.0045,604.29,4.7145,1.0078,656.15,51.86,1.085819722,51.86,1.0858
CSPM,CS/Minute,7.774545455,8.8,7.672,0.102545455,1.013366196,7.7745,7.672,0.1025,1.0134,8.8,1.128,1.147028154,1.128,1.147
CS_at_10,CS @ 10,80.27181818,80.73,80.226,0.04581818,1.000571114,80.2718,80.226,0.0458,1.0006,80.73,0.504,1.006282253,0.504,1.0063
Vision_Score_PM,Vision Score/Minute,1.030909091,1.09,1.025,0.005909091,1.005764967,1.0309,1.025,0.0059,1.0058,1.09,0.065,1.063414634,0.065,1.0634
Enemy_JG_CS,Enemy Jungle Camp CS,2.811818182,1.87,2.906,-0.094181818,0.967590565,2.8118,2.906,-0.0942,0.9676,1.87,-1.036,0.643496215,-1.036,0.6435
Lane_dif_10,Lane Diff @ 10,38.54,-165,58.894,-20.354,0.654396034,38.54,58.894,-20.354,0.6544,-165,-223.894,-2.801643631,-223.894,-2.8016
