Metric_name_og,Metric,with_Sona,Sona_only,no_Sona,raw_dif,perc_dif,with_rnd,without_rnd,raw_dif_rnd,ratio_rnd,As_x_rnd,raw_dif2,perc_dif2,raw_dif2_rnd,perc_dif2_rn
games,Games,59,26,33,,,,33,,,,,,,
Win_perc,Win rate,0.460325,0.7692,0.432245455,0.028079545,1.064962036,0.4603,0.4322,0.0281,1.065,0.7692,0.336954545,1.779544449,0.337,1.7795
KDA,KDA,4.400833333,5.58,4.293636364,0.107196969,1.024966476,4.4008,4.2936,0.1072,1.025,5.58,1.286363636,1.299597713,1.2864,1.2996
KPAR,KPAR,0.63895,0.6723,0.635918182,0.003031818,1.004767623,0.639,0.6359,0.003,1.0048,0.6723,0.036381818,1.057211476,0.0364,1.0572
DPM,DPM,179.2991667,205.18,176.9463636,2.3528031,1.013296702,179.2992,176.9464,2.3528,1.0133,205.18,28.2336364,1.159560422,28.2336,1.1596
CSPM,CS/Minute,1.131666667,1.29,1.117272727,0.01439394,1.012883103,1.1317,1.1173,0.0144,1.0129,1.29,0.172727273,1.154597234,0.1727,1.1546
CS_at_10,CS @ 10,11.6825,14.15,11.45818182,0.22431818,1.019577118,11.6825,11.4582,0.2243,1.0196,14.15,2.69181818,1.23492542,2.6918,1.2349
Vision_Score_PM,Vision Score/Minute,1.9175,1.85,1.923636364,-0.006136364,0.996810019,1.9175,1.9236,-0.0061,0.9968,1.85,-0.073636364,0.961720227,-0.0736,0.9617
Enemy_JG_CS,Enemy Jungle Camp CS,0.109166667,0.31,0.090909091,0.018257576,1.200833336,0.1092,0.0909,0.0183,1.2008,0.31,0.219090909,3.409999997,0.2191,3.41
Lane_dif_10,Lane Diff @ 10,131.59,408.54,106.4127273,25.1772727,1.236600201,131.59,106.4127,25.1773,1.2366,408.54,302.1272727,3.839202418,302.1273,3.8392
