Champion,player,position,games,Win_perc,Champion_Level,KDA,KPAR,DPM,CSPM,CS_at_10,Vision_Score_PM,Enemy_JG_CS,Lane_dif_10,games_total,unique_players,avg_game,wr_round,pick_prop,pick_prop_round,champ_role
Aphelios,Shoryu,ADC,14,0.8571,14.36,6.23,0.6153,672.46,8.74,73.5,0.94,3.43,475.86,212,23,9.217391304,0.8571,0.066037736,0.066,Aphelios - ADC
Aphelios,Meech,ADC,18,0.8333,15.28,5.98,0.6073,834.75,9.26,75.89,0.7,10.72,1047.33,212,23,9.217391304,0.8333,0.08490566,0.0849,Aphelios - ADC
Aphelios,Value,ADC,22,0.7727,14.82,5.12,0.6252,571.27,8.94,78.55,1.07,4.23,679.09,212,23,9.217391304,0.7727,0.103773585,0.1038,Aphelios - ADC
Aphelios,Seangravesgod,ADC,7,0.7143,13.29,3.61,0.4685,529.38,7.92,77.14,0.83,1.43,-214.29,212,23,9.217391304,0.7143,0.033018868,0.033,Aphelios - ADC
Aphelios,Andybendy,ADC,18,0.6667,14.83,3.35,0.5941,613.41,8.26,77.61,0.98,3.89,468.28,212,23,9.217391304,0.6667,0.08490566,0.0849,Aphelios - ADC
Aphelios,Yeon,ADC,8,0.625,13.88,2.5,0.6328,622.17,7.9,65.38,0.88,4.88,-467.38,212,23,9.217391304,0.625,0.037735849,0.0377,Aphelios - ADC
Aphelios,Wixxi,ADC,17,0.5882,14.41,5.33,0.6896,671.23,8.63,73.24,1.04,1.18,146.06,212,23,9.217391304,0.5882,0.080188679,0.0802,Aphelios - ADC
Aphelios,Spawn,ADC,17,0.5882,15.06,3.46,0.6489,791.33,8.61,77.24,1.01,3.65,296.88,212,23,9.217391304,0.5882,0.080188679,0.0802,Aphelios - ADC
Aphelios,Acilion,ADC,12,0.5833,14.42,3.63,0.6523,574.5,9.03,75.25,1.02,2.42,10.92,212,23,9.217391304,0.5833,0.056603774,0.0566,Aphelios - ADC
Aphelios,Vex,ADC,7,0.5714,13.14,2.27,0.4618,605.97,8.57,78.71,0.67,4.71,175.57,212,23,9.217391304,0.5714,0.033018868,0.033,Aphelios - ADC
Aphelios,Rapidx,ADC,7,0.5714,12.57,2.71,0.5018,586,7.77,69.14,0.68,6.29,-433.57,212,23,9.217391304,0.5714,0.033018868,0.033,Aphelios - ADC
Aphelios,DeadlyTwitches,ADC,2,0.5,13.5,2.27,0.5776,614.02,7.67,74,1.03,8,139.5,212,23,9.217391304,0.5,0.009433962,0.0094,Aphelios - ADC
Aphelios,EvanRL,ADC,15,0.4667,15,3.41,0.5447,609.02,8.54,75.8,0.99,3.47,-66.8,212,23,9.217391304,0.4667,0.070754717,0.0708,Aphelios - ADC
Aphelios,Disconnector,ADC,10,0.4,14.3,2.48,0.6515,713.69,8.09,75.6,0.91,2.7,162.2,212,23,9.217391304,0.4,0.047169811,0.0472,Aphelios - ADC
Aphelios,Lobozz,ADC,3,0.3333,12.33,2.89,0.4104,519.37,7.54,67,0.59,2.33,-16.67,212,23,9.217391304,0.3333,0.014150943,0.0142,Aphelios - ADC
Aphelios,Swiftah,ADC,5,0.2,12,2,0.5235,486.16,7.49,59.8,0.97,1,-522.2,212,23,9.217391304,0.2,0.023584906,0.0236,Aphelios - ADC
Aphelios,Dog2,ADC,16,0.1875,14.19,2.9,0.6227,563.4,8.49,72.75,0.85,0.75,-485.69,212,23,9.217391304,0.1875,0.075471698,0.0755,Aphelios - ADC
Aphelios,Spider Queen,ADC,6,0.1667,13.17,1.24,0.4812,456.46,7.85,77.17,0.87,0.83,135.67,212,23,9.217391304,0.1667,0.028301887,0.0283,Aphelios - ADC
Aphelios,PK1,ADC,1,0,15,0.5,0.3333,632.77,8.73,73,1.11,0,332,212,23,9.217391304,0,0.004716981,0.0047,Aphelios - ADC
Aphelios,Nightstar,ADC,2,0,13.5,0.91,0.8286,793.06,8.96,77.5,0.85,0,-356,212,23,9.217391304,0,0.009433962,0.0094,Aphelios - ADC
Aphelios,King Kongzhi,ADC,1,0,12,1,0.3333,293.19,7.74,68,0.57,0,-667,212,23,9.217391304,0,0.004716981,0.0047,Aphelios - ADC
