Champion,player,position,games,Win_perc,Champion_Level,KDA,KPAR,DPM,CSPM,CS_at_10,Vision_Score_PM,Enemy_JG_CS,Lane_dif_10,games_total,unique_players,avg_game,wr_round,pick_prop,pick_prop_round,champ_role,win_perc_rnd,Playerbase
Aatrox,Dinka,Top,10,0.7,16,4.79,0.5435,596.05,6.86,63.6,0.82,6.4,145.7,78,18,4.333333333,0.7,0.128205128,0.1282,Aatrox - Top,70,Broad
Gangplank,Niles,Top,21,0.7619,15.9,3.18,0.5675,656.98,7.79,76.24,0.85,3.19,521,77,18,4.277777778,0.7619,0.272727273,0.2727,Gangplank - Top,76.19,Medium
Gangplank,Quas,Top,14,0.3571,15.07,2.58,0.5971,678.33,7.35,71.71,0.51,1,284.43,77,18,4.277777778,0.3571,0.181818182,0.1818,Gangplank - Top,35.71,Broad
Jayce,Engo,Top,16,0.6875,15.31,3.42,0.5325,629,7.84,75.13,1.35,3.25,120.31,40,9,4.444444444,0.6875,0.4,0.4,Jayce - Top,68.75,Medium
Ornn,Aetheres,Top,17,0.7647,15.88,3.35,0.6144,519.85,6.02,62.29,0.79,0.71,-228,166,26,6.384615385,0.7647,0.102409639,0.1024,Ornn - Top,76.47,Broad
Ornn,Niles,Top,13,0.6923,14.31,2.51,0.5333,396.93,6,65.77,0.87,0.77,-335.31,166,26,6.384615385,0.6923,0.078313253,0.0783,Ornn - Top,69.23,Broad
Ornn,PieCakeLord,Top,12,0.6667,15.08,2.44,0.6636,451.29,6.24,62.67,0.85,0.42,-209.92,166,26,6.384615385,0.6667,0.072289157,0.0723,Ornn - Top,66.67,Broad
Ornn,Engo,Top,16,0.625,15.63,3.33,0.5208,418.33,6.84,70.38,1.11,0.94,365.88,166,26,6.384615385,0.625,0.096385542,0.0964,Ornn - Top,62.5,Broad
Ornn,Gible,Top,11,0.4545,13.91,2.29,0.5477,386.5,6.49,62.36,0.66,0.55,-397.09,166,26,6.384615385,0.4545,0.06626506,0.0663,Ornn - Top,45.45,Broad
Ornn,TheRealPhilip,Top,15,0.4,14.93,2.9,0.5516,361.35,5.87,64,0.81,0.13,-262.87,166,26,6.384615385,0.4,0.090361446,0.0904,Ornn - Top,40,Broad
Ornn,InchesEvan,Top,13,0.0769,14.31,1.81,0.5442,390.41,5.7,62.08,0.74,0.31,-915.92,166,26,6.384615385,0.0769,0.078313253,0.0783,Ornn - Top,7.69,Broad
Sett,Rodov,Top,12,0.8333,15.17,3.1,0.4248,587.64,7.19,76.25,0.72,2.17,880.33,82,20,4.1,0.8333,0.146341463,0.1463,Sett - Top,83.33,Broad
Sett,Lawrence,Top,12,0.5833,14.75,1.74,0.4605,630.47,6.14,66.08,0.86,3.25,398.08,82,20,4.1,0.5833,0.146341463,0.1463,Sett - Top,58.33,Broad
Volibear,PieCakeLord,Top,10,0.3,16,2.09,0.5808,474.52,6.05,65.8,0.9,1.5,227.9,49,15,3.266666667,0.3,0.204081633,0.2041,Volibear - Top,30,Medium
Wukong,Tony Top,Top,12,0.3333,15.83,2.21,0.5531,407.77,6.88,67,0.75,0,12.17,72,16,4.5,0.3333,0.166666667,0.1667,Wukong - Top,33.33,Broad
Graves,Hyami,Jung,11,0.6364,14.73,5.25,0.6776,448.81,6.78,5,1.27,14.55,815.36,151,25,6.04,0.6364,0.072847682,0.0728,Graves - Jung,63.64,Broad
