champion,champ_role,games_total,role
Aatrox,Aatrox - Top,78,Top
Akali,Akali - Top,11,Top
Camille,Camille - Top,33,Top
Cassiopeia,Cassiopeia - Top,1,Top
ChoGath,ChoGath - Top,1,Top
Darius,Darius - Top,11,Top
Dr. Mundo,Dr. Mundo - Top,2,Top
Fiddlesticks,Fiddlesticks - Top,2,Top
Fiora,Fiora - Top,9,Top
Gangplank,Gangplank - Top,77,Top
Gnar,Gnar - Top,19,Top
Graves,Graves - Top,1,Top
Hecarim,Hecarim - Top,12,Top
Illaoi,Illaoi - Top,4,Top
Irelia,Irelia - Top,16,Top
Jax,Jax - Top,11,Top
Jayce,Jayce - Top,40,Top
Karma,Karma - Top,19,Top
Kayle,Kayle - Top,17,Top
Kennen,Kennen - Top,16,Top
Kled,Kled - Top,2,Top
Lucian,Lucian - Top,8,Top
Lulu,Lulu - Top,2,Top
Malphite,Malphite - Top,28,Top
Maokai,Maokai - Top,25,Top
Mordekaiser,Mordekaiser - Top,30,Top
Nasus,Nasus - Top,1,Top
Neeko,Neeko - Top,2,Top
Nocturne,Nocturne - Top,1,Top
Olaf,Olaf - Top,1,Top
Ornn,Ornn - Top,166,Top
Poppy,Poppy - Top,10,Top
Renekton,Renekton - Top,48,Top
Riven,Riven - Top,1,Top
Rumble,Rumble - Top,10,Top
Ryze,Ryze - Top,9,Top
Sett,Sett - Top,82,Top
Shen,Shen - Top,14,Top
Singed,Singed - Top,4,Top
Sion,Sion - Top,7,Top
Soraka,Soraka - Top,9,Top
Sylas,Sylas - Top,15,Top
Vayne,Vayne - Top,1,Top
Vladimir,Vladimir - Top,8,Top
Volibear,Volibear - Top,49,Top
Wukong,Wukong - Top,72,Top
Yasuo,Yasuo - Top,1,Top
Ekko,Ekko - Jung,14,Jung
Elise,Elise - Jung,12,Jung
Fiddlesticks,Fiddlesticks - Jung,5,Jung
Gragas,Gragas - Jung,28,Jung
Graves,Graves - Jung,151,Jung
Hecarim,Hecarim - Jung,3,Jung
Ivern,Ivern - Jung,5,Jung
Jarvan IV,Jarvan IV - Jung,119,Jung
Jax,Jax - Jung,1,Jung
Karthus,Karthus - Jung,15,Jung
Kayn,Kayn - Jung,10,Jung
KhaZix,KhaZix - Jung,13,Jung
Kindred,Kindred - Jung,100,Jung
Lee Sin,Lee Sin - Jung,91,Jung
Nidalee,Nidalee - Jung,32,Jung
Nocturne,Nocturne - Jung,24,Jung
Nunu & Willump,Nunu & Willump - Jung,12,Jung
Olaf,Olaf - Jung,68,Jung
Ornn,Ornn - Jung,1,Jung
Qiyana,Qiyana - Jung,1,Jung
Rammus,Rammus - Jung,1,Jung
RekSai,RekSai - Jung,25,Jung
Rengar,Rengar - Jung,1,Jung
Sejuani,Sejuani - Jung,40,Jung
Sett,Sett - Jung,12,Jung
Shyvana,Shyvana - Jung,1,Jung
Skarner,Skarner - Jung,14,Jung
Sylas,Sylas - Jung,10,Jung
Taliyah,Taliyah - Jung,3,Jung
Trundle,Trundle - Jung,123,Jung
Vi,Vi - Jung,1,Jung
Volibear,Volibear - Jung,31,Jung
Wukong,Wukong - Jung,7,Jung
Xin Zhao,Xin Zhao - Jung,4,Jung
Zac,Zac - Jung,8,Jung
Akali,Akali - Mid,6,Mid
Aurelion Sol,Aurelion Sol - Mid,15,Mid
Azir,Azir - Mid,119,Mid
Cassiopeia,Cassiopeia - Mid,26,Mid
Corki,Corki - Mid,57,Mid
Diana,Diana - Mid,3,Mid
Draven,Draven - Mid,1,Mid
Ekko,Ekko - Mid,12,Mid
Ezreal,Ezreal - Mid,3,Mid
Fiddlesticks,Fiddlesticks - Mid,3,Mid
Galio,Galio - Mid,57,Mid
Irelia,Irelia - Mid,13,Mid
Jayce,Jayce - Mid,10,Mid
Karma,Karma - Mid,57,Mid
Karthus,Karthus - Mid,1,Mid
Kassadin,Kassadin - Mid,15,Mid
KogMaw,KogMaw - Mid,3,Mid
Lissandra,Lissandra - Mid,6,Mid
Lucian,Lucian - Mid,5,Mid
Lulu,Lulu - Mid,10,Mid
Lux,Lux - Mid,3,Mid
Malzahar,Malzahar - Mid,3,Mid
Maokai,Maokai - Mid,1,Mid
Nautilus,Nautilus - Mid,1,Mid
Nocturne,Nocturne - Mid,1,Mid
Orianna,Orianna - Mid,104,Mid
Ornn,Ornn - Mid,4,Mid
Pantheon,Pantheon - Mid,4,Mid
Pyke,Pyke - Mid,1,Mid
Rumble,Rumble - Mid,24,Mid
Ryze,Ryze - Mid,17,Mid
Sivir,Sivir - Mid,1,Mid
Swain,Swain - Mid,2,Mid
Sylas,Sylas - Mid,9,Mid
Syndra,Syndra - Mid,126,Mid
Taliyah,Taliyah - Mid,9,Mid
Thresh,Thresh - Mid,1,Mid
Twisted Fate,Twisted Fate - Mid,28,Mid
Twitch,Twitch - Mid,1,Mid
Vayne,Vayne - Mid,2,Mid
Veigar,Veigar - Mid,9,Mid
VelKoz,VelKoz - Mid,14,Mid
Viktor,Viktor - Mid,17,Mid
Vladimir,Vladimir - Mid,11,Mid
Xerath,Xerath - Mid,3,Mid
Yasuo,Yasuo - Mid,19,Mid
Ziggs,Ziggs - Mid,4,Mid
Zilean,Zilean - Mid,7,Mid
Zoe,Zoe - Mid,65,Mid
Aphelios,Aphelios - ADC,212,ADC
Ashe,Ashe - ADC,79,ADC
Brand,Brand - ADC,1,ADC
Caitlyn,Caitlyn - ADC,4,ADC
Cassiopeia,Cassiopeia - ADC,2,ADC
Corki,Corki - ADC,2,ADC
Draven,Draven - ADC,8,ADC
Ezreal,Ezreal - ADC,207,ADC
Graves,Graves - ADC,2,ADC
Heimerdinger,Heimerdinger - ADC,1,ADC
Jhin,Jhin - ADC,19,ADC
Jinx,Jinx - ADC,18,ADC
KaiSa,KaiSa - ADC,24,ADC
Kalista,Kalista - ADC,82,ADC
Karma,Karma - ADC,1,ADC
Karthus,Karthus - ADC,4,ADC
Kassadin,Kassadin - ADC,1,ADC
KogMaw,KogMaw - ADC,10,ADC
LeBlanc,LeBlanc - ADC,1,ADC
Lucian,Lucian - ADC,7,ADC
Maokai,Maokai - ADC,1,ADC
Miss Fortune,Miss Fortune - ADC,57,ADC
Morgana,Morgana - ADC,1,ADC
Nautilus,Nautilus - ADC,1,ADC
Neeko,Neeko - ADC,3,ADC
Orianna,Orianna - ADC,1,ADC
Rumble,Rumble - ADC,5,ADC
Senna,Senna - ADC,46,ADC
Sivir,Sivir - ADC,14,ADC
Soraka,Soraka - ADC,3,ADC
Syndra,Syndra - ADC,15,ADC
Tristana,Tristana - ADC,21,ADC
Twitch,Twitch - ADC,11,ADC
Varus,Varus - ADC,69,ADC
Vayne,Vayne - ADC,16,ADC
Veigar,Veigar - ADC,3,ADC
VelKoz,VelKoz - ADC,1,ADC
Wukong,Wukong - ADC,8,ADC
Xayah,Xayah - ADC,15,ADC
Yasuo,Yasuo - ADC,6,ADC
Ziggs,Ziggs - ADC,4,ADC
Alistar,Alistar - Sup,3,Sup
Aphelios,Aphelios - Sup,1,Sup
Bard,Bard - Sup,52,Sup
Blitzcrank,Blitzcrank - Sup,31,Sup
Braum,Braum - Sup,56,Sup
Cassiopeia,Cassiopeia - Sup,1,Sup
Diana,Diana - Sup,1,Sup
Galio,Galio - Sup,15,Sup
Gragas,Gragas - Sup,3,Sup
Heimerdinger,Heimerdinger - Sup,1,Sup
Janna,Janna - Sup,9,Sup
Karma,Karma - Sup,71,Sup
Leona,Leona - Sup,30,Sup
Lulu,Lulu - Sup,64,Sup
Lux,Lux - Sup,6,Sup
Maokai,Maokai - Sup,8,Sup
Morgana,Morgana - Sup,45,Sup
Nami,Nami - Sup,2,Sup
Nautilus,Nautilus - Sup,137,Sup
Ornn,Ornn - Sup,2,Sup
Pantheon,Pantheon - Sup,6,Sup
Poppy,Poppy - Sup,2,Sup
Pyke,Pyke - Sup,5,Sup
Rakan,Rakan - Sup,36,Sup
Senna,Senna - Sup,26,Sup
Sett,Sett - Sup,50,Sup
Shen,Shen - Sup,1,Sup
Sona,Sona - Sup,34,Sup
Soraka,Soraka - Sup,21,Sup
Tahm Kench,Tahm Kench - Sup,8,Sup
Taric,Taric - Sup,17,Sup
Thresh,Thresh - Sup,156,Sup
Wukong,Wukong - Sup,4,Sup
Yasuo,Yasuo - Sup,3,Sup
Yuumi,Yuumi - Sup,74,Sup
Zilean,Zilean - Sup,1,Sup
Zoe,Zoe - Sup,1,Sup
Zyra,Zyra - Sup,3,Sup
