Champion,player,position,games,Win_perc,Champion_Level,KDA,KPAR,DPM,CSPM,CS_at_10,Vision_Score_PM,Enemy_JG_CS,Lane_dif_10,games_total,unique_players,avg_game,wr_round,pick_prop,pick_prop_round,champ_role
Ekko,Matty,Jung,1,1,17,5.33,0.6154,420.86,5.34,1,1.11,0,-744,14,6,2.333333333,1,0.071428571,0.0714,Ekko - Jung
Ekko,Iconic,Jung,2,1,16,5.5,0.7366,408.59,6.88,3,1.38,27,588.5,14,6,2.333333333,1,0.142857143,0.1429,Ekko - Jung
Ekko,Hyami,Jung,5,0.4,14.4,4.75,0.7521,433.27,6.32,3.2,1.28,6.6,235.2,14,6,2.333333333,0.4,0.357142857,0.3571,Ekko - Jung
Ekko,Seoksang,Jung,2,0,10.5,0.88,0.875,238.83,5.14,5,0.89,3.5,-2189.5,14,6,2.333333333,0,0.142857143,0.1429,Ekko - Jung
Ekko,Panda,Jung,3,0,14,1.75,0.6797,449.38,5.83,1.33,0.97,15,-876,14,6,2.333333333,0,0.214285714,0.2143,Ekko - Jung
Ekko,IvanJYang,Jung,1,0,15,4.67,0.7368,574.16,5.1,5,0.98,3,-1738,14,6,2.333333333,0,0.071428571,0.0714,Ekko - Jung
Elise,Kitzuo,Jung,2,1,13.5,4.33,0.5281,574.19,5.56,8,2.04,5.5,-543.5,12,6,2,1,0.166666667,0.1667,Elise - Jung
Elise,Seoksang,Jung,4,0.75,15.75,3.77,0.5933,351.42,5.46,3.75,1.88,14.25,-130,12,6,2,0.75,0.333333333,0.3333,Elise - Jung
Elise,Rosethorn,Jung,3,0,11,0.82,0.5771,320.21,4.08,5.33,1.99,3.67,163.67,12,6,2,0,0.25,0.25,Elise - Jung
Elise,Matty,Jung,1,0,11,1,0.4375,331.13,4.43,7,0.61,4,-856,12,6,2,0,0.083333333,0.0833,Elise - Jung
Elise,Dragonminkim,Jung,1,0,13,1,0.625,302.67,5.04,5,2.43,12,701,12,6,2,0,0.083333333,0.0833,Elise - Jung
Elise,Avi,Jung,1,0,11,1,0.5455,316.48,3.96,3,0.85,15,-2687,12,6,2,0,0.083333333,0.0833,Elise - Jung
Fiddlesticks,Shorterace,Jung,1,1,16,2.4,0.6486,605.76,4.1,1,1.95,19,-2175,5,3,1.666666667,1,0.2,0.2,Fiddlesticks - Jung
Fiddlesticks,Hunter,Jung,1,1,14,1.71,0.5217,596.74,4.79,6,1.8,5,-768,5,3,1.666666667,1,0.2,0.2,Fiddlesticks - Jung
Fiddlesticks,Siddywiddy,Jung,3,0,13,1.72,0.7688,441.19,5.35,5.33,2,8,193.33,5,3,1.666666667,0,0.6,0.6,Fiddlesticks - Jung
Gragas,Jozyy,Jung,2,1,14.5,5.33,0.6292,560.32,4.95,1.5,1.34,18,625,28,11,2.545454545,1,0.071428571,0.0714,Gragas - Jung
Gragas,BootySlapper,Jung,1,1,12,2.5,0.6667,443.59,4.8,1,0.98,1,-144,28,11,2.545454545,1,0.035714286,0.0357,Gragas - Jung
Gragas,Avi,Jung,5,1,13.6,5,0.5437,481.04,4.89,4,1.14,16.2,-154.8,28,11,2.545454545,1,0.178571429,0.1786,Gragas - Jung
Gragas,Shorterace,Jung,3,0.6667,13.67,3.67,0.5143,354.01,5.66,3,1.08,13.33,-12.33,28,11,2.545454545,0.6667,0.107142857,0.1071,Gragas - Jung
Gragas,Infectrix,Jung,5,0.4,13.4,2.88,0.5102,353.18,4.58,3.8,2.02,10.4,-498.6,28,11,2.545454545,0.4,0.178571429,0.1786,Gragas - Jung
Gragas,Panda,Jung,3,0.3333,13,2.57,0.7043,378.73,4.78,2.67,1.85,9.67,-21.33,28,11,2.545454545,0.3333,0.107142857,0.1071,Gragas - Jung
Gragas,Hyami,Jung,3,0.3333,15,3.9,0.7147,507.14,5.83,6.33,1.65,4.67,-1283.67,28,11,2.545454545,0.3333,0.107142857,0.1071,Gragas - Jung
Gragas,Zile,Jung,3,0,14,1.65,0.6789,407.27,4.62,3,1.67,4.33,-474.33,28,11,2.545454545,0,0.107142857,0.1071,Gragas - Jung
Gragas,Rosethorn,Jung,1,0,13,1.14,0.5714,191.38,4.26,7,1.77,7,-2087,28,11,2.545454545,0,0.035714286,0.0357,Gragas - Jung
Gragas,Nxi,Jung,1,0,13,1,0.8,238.34,5.15,2,1.18,11,-927,28,11,2.545454545,0,0.035714286,0.0357,Gragas - Jung
Gragas,Me Llamo Big D,Jung,1,0,13,1.2,0.8571,287.74,5.36,2,1.92,8,-1904,28,11,2.545454545,0,0.035714286,0.0357,Gragas - Jung
Graves,Nxi,Jung,2,1,15.5,11.67,0.5939,485.63,6.98,4.5,1.95,17,443.5,151,25,6.04,1,0.013245033,0.0132,Graves - Jung
Graves,Kenvi,Jung,6,1,15.17,4.75,0.5928,566.9,8.35,3.33,2.84,33.5,1099.33,151,25,6.04,1,0.039735099,0.0397,Graves - Jung
Graves,Infectrix,Jung,5,1,15.2,4.5,0.6124,442.49,5.86,3.8,1.43,21.4,-394.4,151,25,6.04,1,0.033112583,0.0331,Graves - Jung
Graves,MikeYeung,Jung,6,0.8333,13.83,3.83,0.6225,520.76,5.92,6.67,1.1,14.67,371.5,151,25,6.04,0.8333,0.039735099,0.0397,Graves - Jung
Graves,Jozyy,Jung,9,0.7778,15.11,7.33,0.6805,506.8,6.62,4.78,1.24,19.78,1012,151,25,6.04,0.7778,0.059602649,0.0596,Graves - Jung
Graves,Siddywiddy,Jung,4,0.75,15.5,5.42,0.632,627.44,7.96,3,1.21,31.25,-44.5,151,25,6.04,0.75,0.026490066,0.0265,Graves - Jung
Graves,Kitzuo,Jung,8,0.75,13.63,4.17,0.5802,518.88,6.94,10.75,1.29,17.38,618.88,151,25,6.04,0.75,0.052980132,0.053,Graves - Jung
Graves,Hunter,Jung,4,0.75,14.75,2.59,0.6376,464.86,6.15,5.75,1.57,10.5,-71.75,151,25,6.04,0.75,0.026490066,0.0265,Graves - Jung
Graves,Seoksang,Jung,6,0.6667,14.67,2.81,0.6464,506.24,6.95,6.17,1.27,16.17,931.17,151,25,6.04,0.6667,0.039735099,0.0397,Graves - Jung
Graves,Jason Jg,Jung,3,0.6667,13.33,2.67,0.5538,360.62,5.37,20.67,0.86,2.67,-622,151,25,6.04,0.6667,0.01986755,0.0199,Graves - Jung
Graves,Avi,Jung,9,0.6667,15.44,6.94,0.7018,452.5,6.81,5.11,1.43,20,745.44,151,25,6.04,0.6667,0.059602649,0.0596,Graves - Jung
Graves,Hyami,Jung,11,0.6364,14.73,5.25,0.6776,448.81,6.78,5,1.27,14.55,815.36,151,25,6.04,0.6364,0.072847682,0.0728,Graves - Jung
Graves,Iconic,Jung,18,0.6111,14.22,4.52,0.6344,416.33,6.96,4.56,1.18,16.5,668.39,151,25,6.04,0.6111,0.119205298,0.1192,Graves - Jung
Graves,Shorterace,Jung,5,0.6,14.8,3.93,0.6101,378.16,6.43,6.6,1.28,15.2,307.2,151,25,6.04,0.6,0.033112583,0.0331,Graves - Jung
Graves,Zile,Jung,4,0.5,12.5,2.47,0.8474,509.44,6.42,4,1.18,14,-652.75,151,25,6.04,0.5,0.026490066,0.0265,Graves - Jung
Graves,Panda,Jung,6,0.5,13,2.54,0.6701,502.65,6.67,2.67,1.23,23,1105.67,151,25,6.04,0.5,0.039735099,0.0397,Graves - Jung
Graves,Batmun,Jung,2,0.5,14,2.5,0.6039,433.71,5.68,4.5,1.28,6,505,151,25,6.04,0.5,0.013245033,0.0132,Graves - Jung
Graves,Matty,Jung,11,0.4545,13.36,3.19,0.7077,479.32,6.5,4.82,1.07,9,-56.45,151,25,6.04,0.4545,0.072847682,0.0728,Graves - Jung
Graves,Rosethorn,Jung,9,0.4444,13.89,2.97,0.7002,530.78,5.89,4,1.19,9.78,-180.44,151,25,6.04,0.4444,0.059602649,0.0596,Graves - Jung
Graves,OddOrange,Jung,7,0.4286,13.86,3.5,0.6434,382.07,6.72,6.86,1.64,22.29,1515,151,25,6.04,0.4286,0.046357616,0.0464,Graves - Jung
Graves,eXyu,Jung,3,0.3333,12.67,2.71,0.8655,457.95,5.51,3.33,1.5,18,-579.67,151,25,6.04,0.3333,0.01986755,0.0199,Graves - Jung
Graves,Dragonminkim,Jung,3,0.3333,14.67,3.91,0.7235,521.12,6.02,19,1.47,12,-63.67,151,25,6.04,0.3333,0.01986755,0.0199,Graves - Jung
Graves,BootySlapper,Jung,8,0.125,13.25,1.93,0.6723,414.2,6.35,5.63,1.1,7.5,-1110.75,151,25,6.04,0.125,0.052980132,0.053,Graves - Jung
Graves,Me Llamo Big D,Jung,1,0,14,2.75,0.7333,421.11,6.03,1,2.18,19,1394,151,25,6.04,0,0.006622517,0.0066,Graves - Jung
Graves,Axsthetic,Jung,1,0,12,4,0.6154,418.91,5.67,4,1.29,9,-352,151,25,6.04,0,0.006622517,0.0066,Graves - Jung
Hecarim,Kitzuo,Jung,1,1,15,9.5,0.7037,522.95,6.57,6,1.02,12,-1440,3,3,1,1,0.333333333,0.3333,Hecarim - Jung
Hecarim,Avi,Jung,1,1,14,16,0.64,369.63,5.77,8,1.46,8,1783,3,3,1,1,0.333333333,0.3333,Hecarim - Jung
Hecarim,OddOrange,Jung,1,0,15,1.8,0.5,266.67,4.83,7,1.01,25,1289,3,3,1,0,0.333333333,0.3333,Hecarim - Jung
Ivern,Shorterace,Jung,1,1,15,7,0.875,162.65,4.12,4,1.18,16,-906,5,3,1.666666667,1,0.2,0.2,Ivern - Jung
Ivern,Hunter,Jung,3,0.3333,13,4.2,0.6064,141.08,4.49,3,0.75,4,-629.33,5,3,1.666666667,0.3333,0.6,0.6,Ivern - Jung
Ivern,Siddywiddy,Jung,1,0,11,0.17,0.3333,107.59,4.83,2,0.73,25,341,5,3,1.666666667,0,0.2,0.2,Ivern - Jung
Jarvan IV,Kenvi,Jung,1,1,12,18,0.9,266.66,4.93,3,2.04,4,1051,119,22,5.409090909,1,0.008403361,0.0084,Jarvan IV - Jung
Jarvan IV,OddOrange,Jung,9,0.7778,13.56,5.62,0.7863,265.4,4.59,3.11,2,13,-51.78,119,22,5.409090909,0.7778,0.075630252,0.0756,Jarvan IV - Jung
Jarvan IV,Panda,Jung,3,0.6667,14.33,4.22,0.8042,246.74,5.04,1.67,1.14,17.67,-129.33,119,22,5.409090909,0.6667,0.025210084,0.0252,Jarvan IV - Jung
Jarvan IV,MikeYeung,Jung,6,0.6667,13.83,5.05,0.7999,254.11,5.29,2,1.1,13.67,-141.17,119,22,5.409090909,0.6667,0.050420168,0.0504,Jarvan IV - Jung
Jarvan IV,Hyami,Jung,7,0.5714,14.29,3.13,0.8477,198.01,5.01,5,1.45,11.86,-57.43,119,22,5.409090909,0.5714,0.058823529,0.0588,Jarvan IV - Jung
Jarvan IV,Kitzuo,Jung,16,0.5625,12.5,3.39,0.7249,358.82,5.25,10.13,1.6,9.31,-251.75,119,22,5.409090909,0.5625,0.134453782,0.1345,Jarvan IV - Jung
Jarvan IV,Dragonminkim,Jung,2,0.5,13.5,3.14,0.5033,188.68,4.26,1.5,1.3,15.5,-1395.5,119,22,5.409090909,0.5,0.016806723,0.0168,Jarvan IV - Jung
Jarvan IV,Avi,Jung,4,0.5,12.25,3.28,0.7102,287.88,4.87,2,0.91,10.25,-1009.75,119,22,5.409090909,0.5,0.033613445,0.0336,Jarvan IV - Jung
Jarvan IV,Siddywiddy,Jung,3,0.3333,12.33,2.55,0.7889,194.86,5.03,0.67,1.25,11,-226.67,119,22,5.409090909,0.3333,0.025210084,0.0252,Jarvan IV - Jung
Jarvan IV,Infectrix,Jung,6,0.3333,13,2.79,0.7575,268.84,4.23,1.67,1.3,6.33,-645.67,119,22,5.409090909,0.3333,0.050420168,0.0504,Jarvan IV - Jung
Jarvan IV,Hunter,Jung,14,0.2857,12.79,3.42,0.7454,223.77,4.98,5.64,1.22,6.71,-328.5,119,22,5.409090909,0.2857,0.117647059,0.1176,Jarvan IV - Jung
Jarvan IV,Rosethorn,Jung,6,0.1667,13.17,2.29,0.738,233.2,4.47,2.83,1.25,4.17,-601.5,119,22,5.409090909,0.1667,0.050420168,0.0504,Jarvan IV - Jung
Jarvan IV,Jozyy,Jung,8,0.125,12.75,2.44,0.8192,276.99,4.73,2.13,1.09,7.63,-479.75,119,22,5.409090909,0.125,0.067226891,0.0672,Jarvan IV - Jung
Jarvan IV,Jason Jg,Jung,10,0.1,13.1,2.48,0.7608,224.51,4.17,3.1,1.3,3.6,-236.2,119,22,5.409090909,0.1,0.084033613,0.084,Jarvan IV - Jung
Jarvan IV,Zile,Jung,7,0,12.86,1.82,0.8932,296.24,4.9,3.71,1.24,9.14,-355.29,119,22,5.409090909,0,0.058823529,0.0588,Jarvan IV - Jung
Jarvan IV,Shorterace,Jung,3,0,13,1.86,0.7654,232.54,3.73,2,1.36,3.33,-606,119,22,5.409090909,0,0.025210084,0.0252,Jarvan IV - Jung
Jarvan IV,Seoksang,Jung,4,0,13.25,2.87,0.8165,221.03,5.05,2.25,1.37,5,-156.75,119,22,5.409090909,0,0.033613445,0.0336,Jarvan IV - Jung
Jarvan IV,Me Llamo Big D,Jung,1,0,11,3,0.75,280.93,5.12,9,1.27,4,-971,119,22,5.409090909,0,0.008403361,0.0084,Jarvan IV - Jung
Jarvan IV,Matty,Jung,1,0,12,1,0.6667,152.66,4.33,1,0.86,4,-1565,119,22,5.409090909,0,0.008403361,0.0084,Jarvan IV - Jung
Jarvan IV,BootySlapper,Jung,6,0,11.67,1.7,0.6759,267.41,4.39,3.83,1.17,9.17,-686.67,119,22,5.409090909,0,0.050420168,0.0504,Jarvan IV - Jung
Jarvan IV,Batmun,Jung,1,0,10,0.8,0.5714,151.3,4.47,1,1.02,0,-1988,119,22,5.409090909,0,0.008403361,0.0084,Jarvan IV - Jung
Jarvan IV,Axsthetic,Jung,1,0,14,1.75,0.5385,146.13,3.65,0,1.88,4,-600,119,22,5.409090909,0,0.008403361,0.0084,Jarvan IV - Jung
Jax,Zile,Jung,1,0,13,1.43,0.5263,290.78,4.83,0,0.81,0,-2357,1,1,1,0,1,1,Jax - Jung
