Champion,player,position,games,Win_perc,Champion_Level,KDA,KPAR,DPM,CSPM,CS_at_10,Vision_Score_PM,Enemy_JG_CS,Lane_dif_10,games_total,unique_players,avg_game,wr_round,pick_prop,pick_prop_round,champ_role
Akali,KP Freeze,Mid,1,1,18,3.4,0.6296,763.39,8.1,70,0.61,4,1160,6,6,1,1,0.166666667,0.1667,Akali - Mid
Akali,CommandAttack,Mid,1,1,15,4,0.3636,294.92,6.15,53,1.07,0,-712,6,6,1,1,0.166666667,0.1667,Akali - Mid
Akali,Young,Mid,1,0,16,1.3,0.5,599.41,5.52,74,0.78,0,746,6,6,1,0,0.166666667,0.1667,Akali - Mid
Akali,Strompest,Mid,1,0,14,2.4,0.8571,542.9,7.66,71,0.93,0,-371,6,6,1,0,0.166666667,0.1667,Akali - Mid
Akali,Slooshi,Mid,1,0,17,2,0.4615,375.16,8.1,79,0.94,4,-355,6,6,1,0,0.166666667,0.1667,Akali - Mid
Akali,Eclipse,Mid,1,0,14,1.5,0.5,436.91,7.25,76,1.17,4,-156,6,6,1,0,0.166666667,0.1667,Akali - Mid
Aurelion Sol,AlwaysPlanAhea,Mid,15,0.8,16,5.77,0.6285,656.15,8.8,80.73,1.09,1.87,-165,15,1,15,0.8,1,1,Aurelion Sol - Mid
Azir,Sudzzi,Mid,4,1,16.25,7.29,0.6185,548.36,8.9,83,0.98,4,-29.5,119,21,5.666666667,1,0.033613445,0.0336,Azir - Mid
Azir,CommandAttack,Mid,4,0.75,16,2.83,0.4915,505.54,7.91,72.75,1.36,2.75,110.75,119,21,5.666666667,0.75,0.033613445,0.0336,Azir - Mid
Azir,5Fire,Mid,4,0.75,15,3.46,0.5946,560.01,8.66,74,1.18,6.5,71.75,119,21,5.666666667,0.75,0.033613445,0.0336,Azir - Mid
Azir,Robbybob,Mid,6,0.6667,15.83,2.87,0.639,603.96,7.88,76.17,0.77,2,-75.83,119,21,5.666666667,0.6667,0.050420168,0.0504,Azir - Mid
Azir,Copy,Mid,3,0.6667,16.67,2.09,0.4971,454.65,9.02,87.33,1.27,3,411,119,21,5.666666667,0.6667,0.025210084,0.0252,Azir - Mid
Azir,HighKeySavage,Mid,11,0.6364,15.09,3.27,0.4985,486.54,8.27,80.64,0.85,3.36,165.18,119,21,5.666666667,0.6364,0.092436975,0.0924,Azir - Mid
Azir,Wolfe,Mid,13,0.6154,15.85,3.32,0.5558,492.84,8.15,81.62,1.03,2.77,-172.46,119,21,5.666666667,0.6154,0.109243697,0.1092,Azir - Mid
Azir,Dziarmaga,Mid,5,0.6,14.6,4.18,0.4941,438.62,7.49,66.8,0.83,3.2,-194.8,119,21,5.666666667,0.6,0.042016807,0.042,Azir - Mid
Azir,KP Freeze,Mid,25,0.56,15.4,3.23,0.5287,640.89,8.35,81.6,1.07,3.2,494.76,119,21,5.666666667,0.56,0.210084034,0.2101,Azir - Mid
Azir,Rovex,Mid,4,0.5,15,2,0.5202,485.33,7.73,84.25,0.67,0.75,360.5,119,21,5.666666667,0.5,0.033613445,0.0336,Azir - Mid
Azir,Enigma,Mid,4,0.5,14.75,1.6,0.2695,384.26,7.45,86,0.93,0,-279.75,119,21,5.666666667,0.5,0.033613445,0.0336,Azir - Mid
Azir,Eclipse,Mid,4,0.5,15.5,4.15,0.5905,686.3,7.32,80.75,0.96,3.75,-269.5,119,21,5.666666667,0.5,0.033613445,0.0336,Azir - Mid
Azir,Young,Mid,9,0.2222,16.89,2.88,0.6479,562.8,9.09,88.78,1.06,3.11,383.22,119,21,5.666666667,0.2222,0.075630252,0.0756,Azir - Mid
Azir,Yeonbee,Mid,5,0.2,14.6,1.6,0.5216,561.18,8.04,76.8,0.9,1.8,-95.2,119,21,5.666666667,0.2,0.042016807,0.042,Azir - Mid
Azir,Spirax,Mid,9,0.1111,14.11,2.96,0.6429,486.26,8.72,88.44,0.91,2.67,203.56,119,21,5.666666667,0.1111,0.075630252,0.0756,Azir - Mid
Azir,Strompest,Mid,3,0,13.67,1.08,0.5607,466.86,7.97,77.67,0.86,0,-187.33,119,21,5.666666667,0,0.025210084,0.0252,Azir - Mid
Azir,Seranok,Mid,1,0,14,1.5,0.5,723.64,9.07,87,0.88,0,1439,119,21,5.666666667,0,0.008403361,0.0084,Azir - Mid
Azir,MasterOfShuriken,Mid,2,0,12.5,1,0.5417,388.26,7.12,72.5,0.7,0,112.5,119,21,5.666666667,0,0.016806723,0.0168,Azir - Mid
Azir,Busioc,Mid,1,0,18,2.13,0.5667,1046.64,6.84,69,1.08,0,281,119,21,5.666666667,0,0.008403361,0.0084,Azir - Mid
Azir,Body These Fools,Mid,1,0,17,3,0.6316,1039.12,9.92,82,0.9,0,-1342,119,21,5.666666667,0,0.008403361,0.0084,Azir - Mid
Azir,Aspe?t,Mid,1,0,13,2.5,0.8333,273.53,8.03,74,0.85,0,-1337,119,21,5.666666667,0,0.008403361,0.0084,Azir - Mid
Cassiopeia,Sudzzi,Mid,1,1,17,5,0.5882,431.76,7.96,86,0.94,4,919,26,12,2.166666667,1,0.038461538,0.0385,Cassiopeia - Mid
Cassiopeia,Rovex,Mid,1,1,16,4.67,0.56,857.41,9.26,88,0.67,0,587,26,12,2.166666667,1,0.038461538,0.0385,Cassiopeia - Mid
Cassiopeia,HighKeySavage,Mid,1,1,12,3.33,0.3125,408.55,7.07,70,0.83,3,-1801,26,12,2.166666667,1,0.038461538,0.0385,Cassiopeia - Mid
Cassiopeia,Busioc,Mid,1,1,16,4.67,0.5185,630.24,6.02,64,0.92,4,-335,26,12,2.166666667,1,0.038461538,0.0385,Cassiopeia - Mid
Cassiopeia,CommandAttack,Mid,4,0.75,15.25,4.21,0.6189,536,8.24,76.5,1.05,7.25,-49.25,26,12,2.166666667,0.75,0.153846154,0.1538,Cassiopeia - Mid
Cassiopeia,Robbybob,Mid,2,0.5,16.5,2.13,0.57,468.37,8.96,79,0.7,4,-552.5,26,12,2.166666667,0.5,0.076923077,0.0769,Cassiopeia - Mid
Cassiopeia,Strompest,Mid,10,0.4,16,2.35,0.602,627.86,8.43,78.8,1,5.1,-281.3,26,12,2.166666667,0.4,0.384615385,0.3846,Cassiopeia - Mid
Cassiopeia,Enigma,Mid,2,0,12.5,1.3,0.4479,404.41,7.49,78,0.88,2,-87.5,26,12,2.166666667,0,0.076923077,0.0769,Cassiopeia - Mid
Cassiopeia,Eclipse,Mid,1,0,13,1,0.6875,396.21,3.53,4,1.12,5,-2696,26,12,2.166666667,0,0.038461538,0.0385,Cassiopeia - Mid
Cassiopeia,Dziarmaga,Mid,1,0,10,0.43,0.375,201.09,6.06,56,0.43,0,-2930,26,12,2.166666667,0,0.038461538,0.0385,Cassiopeia - Mid
Cassiopeia,Aspe?t,Mid,1,0,14,1,0.8,375.53,8.63,84,0.67,0,-1116,26,12,2.166666667,0,0.038461538,0.0385,Cassiopeia - Mid
Cassiopeia,AlwaysPlanAhea,Mid,1,0,16,1.25,0.8333,451.16,9.17,99,1.12,0,451,26,12,2.166666667,0,0.038461538,0.0385,Cassiopeia - Mid
Corki,Young,Mid,4,0.75,16,3.4,0.4083,516.52,8.93,88,0.58,1.5,-23,57,17,3.352941176,0.75,0.070175439,0.0702,Corki - Mid
Corki,Yeonbee,Mid,4,0.75,16.75,4.5,0.6723,806.94,9.16,84.75,1.31,8.5,83,57,17,3.352941176,0.75,0.070175439,0.0702,Corki - Mid
Corki,Sudzzi,Mid,4,0.75,17,6.42,0.666,1031.75,8.31,80.25,1.53,5.25,-14.75,57,17,3.352941176,0.75,0.070175439,0.0702,Corki - Mid
Corki,Copy,Mid,4,0.75,14.25,4.3,0.6618,744.42,8.64,85.75,1.06,3,259.25,57,17,3.352941176,0.75,0.070175439,0.0702,Corki - Mid
Corki,5Fire,Mid,3,0.6667,16,2.9,0.6776,743.01,8.67,83,1.09,3.67,1461.67,57,17,3.352941176,0.6667,0.052631579,0.0526,Corki - Mid
Corki,Strompest,Mid,2,0.5,15,1.88,0.6158,552.12,9.26,83.5,0.75,6.5,290.5,57,17,3.352941176,0.5,0.035087719,0.0351,Corki - Mid
Corki,Robbybob,Mid,4,0.5,16,3.13,0.6181,806.05,8.06,80.75,0.89,2,-261,57,17,3.352941176,0.5,0.070175439,0.0702,Corki - Mid
Corki,Enigma,Mid,2,0.5,16,2.5,0.4808,522.85,7.57,80,0.94,0,593.5,57,17,3.352941176,0.5,0.035087719,0.0351,Corki - Mid
Corki,Spirax,Mid,7,0.4286,15,3.2,0.6968,681.2,8.09,75.14,1,4,-404.57,57,17,3.352941176,0.4286,0.122807018,0.1228,Corki - Mid
Corki,KP Freeze,Mid,3,0.3333,14.67,3.5,0.5929,763.71,7.68,85.33,1.09,0,190.67,57,17,3.352941176,0.3333,0.052631579,0.0526,Corki - Mid
Corki,Busioc,Mid,5,0.2,15,3.77,0.6281,664.73,7.7,72.2,0.85,1.6,-293.2,57,17,3.352941176,0.2,0.087719298,0.0877,Corki - Mid
Corki,Dziarmaga,Mid,9,0.1111,14.44,2.2,0.7174,717.44,7.29,70.22,0.63,1.67,-287.89,57,17,3.352941176,0.1111,0.157894737,0.1579,Corki - Mid
Corki,Slooshi,Mid,1,0,15,2.2,0.6111,804.25,8.62,78,0.78,0,-712,57,17,3.352941176,0,0.01754386,0.0175,Corki - Mid
Corki,Eclipse,Mid,1,0,14,1.6,0.6154,514.14,6.25,74,0.84,0,-122,57,17,3.352941176,0,0.01754386,0.0175,Corki - Mid
Corki,CptShrimps,Mid,2,0,12.5,0.83,0.4167,356.62,8.28,74.5,0.63,0,-740.5,57,17,3.352941176,0,0.035087719,0.0351,Corki - Mid
Corki,Body These Fools,Mid,1,0,14,4,0.8571,631.83,8.1,87,0.55,0,108,57,17,3.352941176,0,0.01754386,0.0175,Corki - Mid
Corki,BEACHDAYEVERYDAY,Mid,1,0,14,2.75,0.6111,670.65,6.54,72,1.04,0,-1469,57,17,3.352941176,0,0.01754386,0.0175,Corki - Mid
Diana,Yeonbee,Mid,2,1,15.5,4.17,0.613,447.99,9.27,83,1.16,11.5,453,3,2,1.5,1,0.666666667,0.6667,Diana - Mid
Diana,Eclipse,Mid,1,1,15,16,0.5333,1153.08,8.4,72,0.7,25,1946,3,2,1.5,1,0.333333333,0.3333,Diana - Mid
Draven,CptShrimps,Mid,1,0,13,2,0.8,382.67,6.61,71,0.93,0,1551,1,1,1,0,1,1,Draven - Mid
Ekko,Eclipse,Mid,1,1,17,3.2,0.6154,887.37,7.58,65,0.93,1,723,12,6,2,1,0.083333333,0.0833,Ekko - Mid
Ekko,Copy,Mid,1,1,17,4,0.64,725.82,7.74,82,0.72,0,151,12,6,2,1,0.083333333,0.0833,Ekko - Mid
Ekko,Sudzzi,Mid,3,0.6667,15.67,5.43,0.6219,595.93,7.91,78.33,0.75,1.67,691.33,12,6,2,0.6667,0.25,0.25,Ekko - Mid
Ekko,Robbybob,Mid,4,0.5,14.75,1.86,0.4072,397.45,7.79,77.25,0.85,2,-15.25,12,6,2,0.5,0.333333333,0.3333,Ekko - Mid
Ekko,Busioc,Mid,2,0.5,16,3,0.5722,412.62,7.85,71,0.73,0,390,12,6,2,0.5,0.166666667,0.1667,Ekko - Mid
Ekko,CommandAttack,Mid,1,0,14,1,0.2,383.77,6.76,65,0.83,0,-1034,12,6,2,0,0.083333333,0.0833,Ekko - Mid
Ezreal,Yeonbee,Mid,1,1,13,15,0.7143,716.21,7.27,68,1.06,0,-1815,3,2,1.5,1,0.333333333,0.3333,Ezreal - Mid
Ezreal,KP Freeze,Mid,2,0.5,16.5,2.88,0.6362,1139.51,8.84,82.5,0.96,6,330,3,2,1.5,0.5,0.666666667,0.6667,Ezreal - Mid
Fiddlesticks,5Fire,Mid,1,1,15,3.2,0.5714,742.59,5.39,56,1.74,10,-612,3,2,1.5,1,0.333333333,0.3333,Fiddlesticks - Mid
Fiddlesticks,Busioc,Mid,2,0,12,0.5,0.5,296.39,5.85,69.5,1.34,2,127,3,2,1.5,0,0.666666667,0.6667,Fiddlesticks - Mid
Galio,CommandAttack,Mid,1,1,17,5.33,0.6154,314.98,7.15,74,1.21,0,1336,57,17,3.352941176,1,0.01754386,0.0175,Galio - Mid
Galio,5Fire,Mid,2,1,15.5,8.75,0.6655,609.75,7.28,71.5,0.65,3,344,57,17,3.352941176,1,0.035087719,0.0351,Galio - Mid
Galio,Enigma,Mid,3,0.6667,15.33,4,0.539,371.6,7.22,74,0.9,0,316.67,57,17,3.352941176,0.6667,0.052631579,0.0526,Galio - Mid
Galio,Wolfe,Mid,5,0.6,14.6,4.38,0.5935,348.77,7.17,76.4,1.11,0,-213.6,57,17,3.352941176,0.6,0.087719298,0.0877,Galio - Mid
Galio,Spirax,Mid,5,0.6,16,3.39,0.6702,520.19,7.53,79.2,0.92,0.4,136.8,57,17,3.352941176,0.6,0.087719298,0.0877,Galio - Mid
Galio,Robbybob,Mid,9,0.5556,16.22,3.74,0.7583,443.02,7.4,74.22,0.74,0.44,-166.78,57,17,3.352941176,0.5556,0.157894737,0.1579,Galio - Mid
Galio,Young,Mid,8,0.5,14.63,3.26,0.6502,508.7,6.95,73.75,0.75,1.38,119.13,57,17,3.352941176,0.5,0.140350877,0.1404,Galio - Mid
Galio,Dziarmaga,Mid,2,0.5,16.5,4.29,0.7575,498.64,6.68,78,0.41,3.5,568,57,17,3.352941176,0.5,0.035087719,0.0351,Galio - Mid
Galio,Copy,Mid,2,0.5,16.5,4.86,0.7323,384.29,5.8,63.5,0.84,0,-548.5,57,17,3.352941176,0.5,0.035087719,0.0351,Galio - Mid
Galio,HighKeySavage,Mid,5,0.4,12,2.7,0.6003,398.67,5.93,65.4,0.85,0,-611,57,17,3.352941176,0.4,0.087719298,0.0877,Galio - Mid
Galio,Sudzzi,Mid,3,0.3333,14.67,3.15,0.7162,447.42,6.82,69,0.74,0,-353.67,57,17,3.352941176,0.3333,0.052631579,0.0526,Galio - Mid
Galio,Eclipse,Mid,1,0,13,1.25,0.625,588.74,4.95,54,0.62,0,-1465,57,17,3.352941176,0,0.01754386,0.0175,Galio - Mid
Galio,CptShrimps,Mid,5,0,14.6,1.96,0.6857,434.86,6.52,64.2,0.78,0,-483.4,57,17,3.352941176,0,0.087719298,0.0877,Galio - Mid
Galio,Busioc,Mid,1,0,15,2,0.7619,541.5,6.19,62,0.91,0,-1353,57,17,3.352941176,0,0.01754386,0.0175,Galio - Mid
Galio,Body These Fools,Mid,2,0,12.5,2,0.2727,292.43,6.62,78.5,0.81,0,-295.5,57,17,3.352941176,0,0.035087719,0.0351,Galio - Mid
Galio,Aspe?t,Mid,1,0,14,1.25,0.5,323.04,8.34,84,0.85,0,78,57,17,3.352941176,0,0.01754386,0.0175,Galio - Mid
