Champion,player,position,games,Win_perc,Champion_Level,KDA,KPAR,DPM,CSPM,CS_at_10,Vision_Score_PM,Enemy_JG_CS,Lane_dif_10,games_total,unique_players,avg_game,wr_round,pick_prop,pick_prop_round,champ_role
Alistar,Shady,Sup,1,0,13,5,0.8333,180.5,0.85,12,2.48,0,382,3,3,1,0,0.333333333,0.3333,Alistar - Sup
Alistar,Mist,Sup,1,0,12,1.25,0.625,109.82,1.2,12,2.25,0,554,3,3,1,0,0.333333333,0.3333,Alistar - Sup
Alistar,Cao,Sup,1,0,13,1.4,0.5385,140.69,0.57,9,2.67,0,-687,3,3,1,0,0.333333333,0.3333,Alistar - Sup
Aphelios,Daption,Sup,1,0,18,4.4,0.8462,1243.58,10,77,1.63,4,2923,1,1,1,0,1,1,Aphelios - Sup
Bard,Pockus,Sup,2,1,14.5,5.71,0.8073,298.4,1.25,11,3.11,0,-191,52,18,2.888888889,1,0.038461538,0.0385,Bard - Sup
Bard,Orca,Sup,1,1,11,3.33,0.5263,357,1.76,21,2.96,2,910,52,18,2.888888889,1,0.019230769,0.0192,Bard - Sup
Bard,Joeyy,Sup,2,1,13.5,10,0.7571,317.42,1.18,6.5,3.73,0.5,245.5,52,18,2.888888889,1,0.038461538,0.0385,Bard - Sup
Bard,Dog,Sup,2,1,12.5,4.8,0.5881,197.03,1.16,10.5,2.78,0,554.5,52,18,2.888888889,1,0.038461538,0.0385,Bard - Sup
Bard,Clyde,Sup,1,1,12,4.75,0.7917,283.06,0.85,11,2.68,0,826,52,18,2.888888889,1,0.019230769,0.0192,Bard - Sup
Bard,UgandanRoyalty,Sup,3,0.6667,13.67,2.13,0.4882,253.06,0.88,5.33,2.54,0,-186.33,52,18,2.888888889,0.6667,0.057692308,0.0577,Bard - Sup
Bard,Shady,Sup,6,0.6667,13.17,5.38,0.7625,258.26,1.42,13.83,3.16,0.17,325.83,52,18,2.888888889,0.6667,0.115384615,0.1154,Bard - Sup
Bard,Daption,Sup,2,0.5,13.5,2.75,0.7696,426.08,1.43,12,2.66,2,-339,52,18,2.888888889,0.5,0.038461538,0.0385,Bard - Sup
Bard,Auto,Sup,2,0.5,11.5,3,0.7342,308.3,1.66,16,2.96,0,-65,52,18,2.888888889,0.5,0.038461538,0.0385,Bard - Sup
Bard,Wispe,Sup,9,0.4444,12.78,3.61,0.6736,241.82,1.25,13.33,2.7,0.44,67.67,52,18,2.888888889,0.4444,0.173076923,0.1731,Bard - Sup
Bard,Cao,Sup,5,0.4,12.2,2.04,0.6824,221.27,1.08,11.6,2.6,0,-418.6,52,18,2.888888889,0.4,0.096153846,0.0962,Bard - Sup
Bard,Dean,Sup,3,0.3333,11.67,4.22,0.5468,217.09,1.51,13,2.47,0,312,52,18,2.888888889,0.3333,0.057692308,0.0577,Bard - Sup
Bard,Saint Daniel,Sup,4,0.25,9.75,1.14,0.5727,272.42,1.02,9.25,2.15,0,-789,52,18,2.888888889,0.25,0.076923077,0.0769,Bard - Sup
Bard,Mist,Sup,4,0.25,13,4.25,0.8419,248.83,1.41,11.5,2.95,0,258.25,52,18,2.888888889,0.25,0.076923077,0.0769,Bard - Sup
Bard,ks2,Sup,1,0,7,0.17,0.5,231.73,0.93,12,0.74,0,-1517,52,18,2.888888889,0,0.019230769,0.0192,Bard - Sup
Bard,JohnathanForLong,Sup,3,0,11.33,1.53,0.6254,217.48,1.04,13,2.65,0,-202,52,18,2.888888889,0,0.057692308,0.0577,Bard - Sup
Bard,Chookies,Sup,1,0,10,3,0.6429,370.96,0.24,1,1.84,0,-988,52,18,2.888888889,0,0.019230769,0.0192,Bard - Sup
Bard,Abou222,Sup,1,0,12,1.33,0.7619,509.69,0.47,2,1.92,0,-801,52,18,2.888888889,0,0.019230769,0.0192,Bard - Sup
Blitzcrank,Winter,Sup,4,1,11.5,4.15,0.5385,237.81,1.18,12.75,2.26,0,299.5,31,13,2.384615385,1,0.129032258,0.129,Blitzcrank - Sup
Blitzcrank,UgandanRoyalty,Sup,2,1,13.5,3.31,0.5946,298.5,1.04,12,2.31,0,-236,31,13,2.384615385,1,0.064516129,0.0645,Blitzcrank - Sup
Blitzcrank,Orca,Sup,1,1,12,8,0.5,156.47,1.17,12,2.19,0,-224,31,13,2.384615385,1,0.032258065,0.0323,Blitzcrank - Sup
Blitzcrank,JohnathanForLong,Sup,1,1,14,4,0.6061,290.44,1.04,14,2.99,0,-90,31,13,2.384615385,1,0.032258065,0.0323,Blitzcrank - Sup
Blitzcrank,Auto,Sup,6,1,13.67,3.38,0.6276,238.01,0.93,11.67,2.4,0,-122.5,31,13,2.384615385,1,0.193548387,0.1935,Blitzcrank - Sup
Blitzcrank,Saint Daniel,Sup,3,0.6667,13.33,1.92,0.4961,129.85,0.97,11,2.34,0,-659,31,13,2.384615385,0.6667,0.096774194,0.0968,Blitzcrank - Sup
Blitzcrank,Julien,Sup,6,0.5,11.67,2.44,0.5605,251.98,1.01,12,2.16,0,-255.67,31,13,2.384615385,0.5,0.193548387,0.1935,Blitzcrank - Sup
Blitzcrank,Cao,Sup,2,0.5,12.5,3.5,0.7429,194.78,0.92,12.5,2.67,0,58,31,13,2.384615385,0.5,0.064516129,0.0645,Blitzcrank - Sup
Blitzcrank,Wispe,Sup,1,0,12,0.7,0.6364,146.41,0.79,12,1.76,0,-565,31,13,2.384615385,0,0.032258065,0.0323,Blitzcrank - Sup
Blitzcrank,Rovex,Sup,1,0,7,1,1,194.36,1.35,14,0.77,0,-945,31,13,2.384615385,0,0.032258065,0.0323,Blitzcrank - Sup
Blitzcrank,Lutano,Sup,1,0,12,1.5,0.6923,134.3,0.7,11,2.13,0,-824,31,13,2.384615385,0,0.032258065,0.0323,Blitzcrank - Sup
Blitzcrank,Dean,Sup,1,0,12,1.29,0.5625,285.68,0.88,10,2.04,0,-284,31,13,2.384615385,0,0.032258065,0.0323,Blitzcrank - Sup
Blitzcrank,Chookies,Sup,2,0,11.5,1.31,0.5724,235.77,0.94,10,2.12,0,-163,31,13,2.384615385,0,0.064516129,0.0645,Blitzcrank - Sup
Braum,Pockus,Sup,2,1,14.5,5.57,0.8002,196.35,0.97,10.5,2.44,0,-815,56,18,3.111111111,1,0.035714286,0.0357,Braum - Sup
Braum,PapaChau,Sup,1,1,12,2,0.5217,106.9,1.01,11,1.76,0,-242,56,18,3.111111111,1,0.017857143,0.0179,Braum - Sup
Braum,Mist,Sup,3,1,13,3.13,0.8107,173.03,1.03,11,2.48,0,-648.33,56,18,3.111111111,1,0.053571429,0.0536,Braum - Sup
Braum,Fizzi,Sup,1,1,16,3.8,0.76,254.96,0.73,11,2.3,0,161,56,18,3.111111111,1,0.017857143,0.0179,Braum - Sup
Braum,Winter,Sup,7,0.8571,12.43,5,0.7194,177.81,1.16,11.86,2.24,0.57,-71.14,56,18,3.111111111,0.8571,0.125,0.125,Braum - Sup
Braum,Shady,Sup,5,0.8,13.2,5.78,0.6855,160.31,1.15,13.4,2.49,0,-177.2,56,18,3.111111111,0.8,0.089285714,0.0893,Braum - Sup
Braum,Julien,Sup,3,0.6667,11.67,2.47,0.648,149.94,0.95,11,2.49,0,-237.67,56,18,3.111111111,0.6667,0.053571429,0.0536,Braum - Sup
Braum,Clyde,Sup,3,0.6667,11.67,4.13,0.6751,166.74,1.12,13.33,2.16,0,362,56,18,3.111111111,0.6667,0.053571429,0.0536,Braum - Sup
Braum,Saint Daniel,Sup,4,0.5,14,2.78,0.5991,141.93,0.85,11.75,2.39,0,-714.75,56,18,3.111111111,0.5,0.071428571,0.0714,Braum - Sup
Braum,Orca,Sup,6,0.5,11.83,2.43,0.5708,163.2,1.13,13.17,2.27,0,-88.5,56,18,3.111111111,0.5,0.107142857,0.1071,Braum - Sup
Braum,UgandanRoyalty,Sup,3,0.3333,13,5.22,0.7299,222.91,0.88,12,1.97,0,-64,56,18,3.111111111,0.3333,0.053571429,0.0536,Braum - Sup
Braum,Cao,Sup,4,0.25,11.25,2.86,0.7796,162.33,0.82,10.25,2.09,0,-99.25,56,18,3.111111111,0.25,0.071428571,0.0714,Braum - Sup
Braum,Wispe,Sup,5,0,12,2.11,0.6543,156.54,0.87,12.8,1.9,0,-291.6,56,18,3.111111111,0,0.089285714,0.0893,Braum - Sup
Braum,Tempos,Sup,1,0,11,0.5,0.3333,147.32,1.38,15,1.62,0,-291,56,18,3.111111111,0,0.017857143,0.0179,Braum - Sup
Braum,Lutano,Sup,2,0,11.5,2.25,0.675,160.66,1.25,15,1.99,0,-544,56,18,3.111111111,0,0.035714286,0.0357,Braum - Sup
Braum,Dean,Sup,1,0,10,1.38,0.7333,231,0.88,13,1.82,0,287,56,18,3.111111111,0,0.017857143,0.0179,Braum - Sup
Braum,Chookies,Sup,3,0,10.33,2.33,0.6683,185.35,1.02,12.67,1.87,0,-214.67,56,18,3.111111111,0,0.053571429,0.0536,Braum - Sup
Braum,Auto,Sup,2,0,10.5,0.88,0.6923,118.45,1.22,12.5,1.54,0,-1030.5,56,18,3.111111111,0,0.035714286,0.0357,Braum - Sup
Cassiopeia,Rovex,Sup,1,0,13,1.29,0.6923,477.99,7.65,74,0.36,0,1231,1,1,1,0,1,1,Cassiopeia - Sup
Diana,Libero Jy,Sup,1,1,17,10.5,0.75,1005.46,8.74,87,0.81,15,3751,1,1,1,1,1,1,Diana - Sup
Galio,UgandanRoyalty,Sup,3,1,13,6.13,0.703,262.06,1.19,13.67,2.06,0,-487,15,6,2.5,1,0.2,0.2,Galio - Sup
Galio,Clyde,Sup,1,1,13,2,0.6667,194.65,0.74,11,2.16,0,-681,15,6,2.5,1,0.066666667,0.0667,Galio - Sup
Galio,Cao,Sup,1,1,15,2.33,0.6667,294.57,1.37,17,2.74,0,-1618,15,6,2.5,1,0.066666667,0.0667,Galio - Sup
Galio,Mist,Sup,3,0.6667,13.67,8.8,0.6575,336.31,4.74,44.67,1.29,0,313.67,15,6,2.5,0.6667,0.2,0.2,Galio - Sup
Galio,Julien,Sup,3,0.6667,13.67,3,0.6307,360.68,1.38,13.67,2.38,1.33,96.67,15,6,2.5,0.6667,0.2,0.2,Galio - Sup
Galio,Saint Daniel,Sup,4,0.5,12.5,4.45,0.7095,190.56,1.14,12.25,2.08,0,-296.75,15,6,2.5,0.5,0.266666667,0.2667,Galio - Sup
Gragas,Julien,Sup,2,0.5,14,3.25,0.6,379.74,1.03,13,2.24,0,-1132,3,2,1.5,0.5,0.666666667,0.6667,Gragas - Sup
Gragas,Pockus,Sup,1,0,11,0.14,0.1429,180,1.22,15,2.03,0,-423,3,2,1.5,0,0.333333333,0.3333,Gragas - Sup
Heimerdinger,Clyde,Sup,1,0,12,0.67,0.5,221.57,0.52,2,1.89,0,-321,1,1,1,0,1,1,Heimerdinger - Sup
Janna,UgandanRoyalty,Sup,1,1,12,5,0.625,193.88,0.29,0,1.86,0,-650,9,5,1.8,1,0.111111111,0.1111,Janna - Sup
Janna,PapaChau,Sup,1,1,11,6.5,0.6842,315.11,0.75,5,2.33,0,895,9,5,1.8,1,0.111111111,0.1111,Janna - Sup
Janna,JohnathanForLong,Sup,1,1,13,10.5,0.8077,330.74,1.22,14,2.19,4,-998,9,5,1.8,1,0.111111111,0.1111,Janna - Sup
Janna,Dean,Sup,5,0.6,11.8,5.38,0.6952,125.29,1.36,12,2.11,0,-204,9,5,1.8,0.6,0.555555556,0.5556,Janna - Sup
Janna,Mist,Sup,1,0,12,0.5,0.75,147.26,0.22,1,1.6,0,-300,9,5,1.8,0,0.111111111,0.1111,Janna - Sup
Karma,Winter,Sup,3,1,12.33,9.2,0.7001,252.32,0.57,3,2.21,0,605.67,71,24,2.958333333,1,0.042253521,0.0423,Karma - Sup
Karma,SpecialKay,Sup,1,1,13,16,0.7619,461.67,0.42,4,2.18,0,591,71,24,2.958333333,1,0.014084507,0.0141,Karma - Sup
Karma,Shady,Sup,1,1,10,8,0.7619,314.46,0.78,1,3.07,0,717,71,24,2.958333333,1,0.014084507,0.0141,Karma - Sup
Karma,Gweiss,Sup,1,1,14,3,0.75,404.76,0.64,1,2.91,0,429,71,24,2.958333333,1,0.014084507,0.0141,Karma - Sup
Karma,Dog,Sup,1,1,14,6,0.6,157.05,1.32,14,2.38,0,1044,71,24,2.958333333,1,0.014084507,0.0141,Karma - Sup
Karma,Dean,Sup,1,1,12,10,0.5556,73.89,1.12,14,2.76,0,-439,71,24,2.958333333,1,0.014084507,0.0141,Karma - Sup
Karma,Auto,Sup,2,1,13,2.88,0.6648,340.33,0.57,1.5,2.06,0,709,71,24,2.958333333,1,0.028169014,0.0282,Karma - Sup
Karma,Julien,Sup,14,0.5714,12.57,2.7,0.6237,359.32,1.03,9.57,2.27,0.36,-119.36,71,24,2.958333333,0.5714,0.197183099,0.1972,Karma - Sup
Karma,Libero Jy,Sup,6,0.5,13.5,6.07,0.7108,250.74,1.29,15.33,2.53,0,-83.5,71,24,2.958333333,0.5,0.084507042,0.0845,Karma - Sup
Karma,Joeyy,Sup,2,0.5,13.5,3.57,0.8042,306.97,0.73,3,2.07,0,563.5,71,24,2.958333333,0.5,0.028169014,0.0282,Karma - Sup
Karma,PapaChau,Sup,5,0.4,12.4,1.82,0.528,291.59,1.07,6.6,2.45,0,-1058.8,71,24,2.958333333,0.4,0.070422535,0.0704,Karma - Sup
Karma,Saint Daniel,Sup,3,0.3333,13,3,0.5406,142.84,1.09,11.33,2.04,0,-575,71,24,2.958333333,0.3333,0.042253521,0.0423,Karma - Sup
Karma,Rovex,Sup,3,0.3333,12.33,3.89,0.5049,303.34,1.17,9.67,2.3,0,-354.67,71,24,2.958333333,0.3333,0.042253521,0.0423,Karma - Sup
Karma,Mist,Sup,6,0.1667,12.17,1.82,0.6551,300.94,0.77,3.33,1.97,0,-599,71,24,2.958333333,0.1667,0.084507042,0.0845,Karma - Sup
